"Date","1M","3M","6M","1Y","2Y","3Y","5Y","7Y","10Y","20Y","30Y"
2001-07-31,3.67,3.54,3.47,3.53,3.79,4.06,4.57,4.86,5.07,5.61,5.51
2001-08-31,3.4,3.37,3.31,3.41,3.64,3.91,4.46,4.72,4.85,5.47,5.39
2001-09-28,2.28,2.4,2.36,2.49,2.86,3.22,3.93,4.37,4.6,5.45,5.42
2001-10-31,2.15,2.05,1.95,2.07,2.44,2.87,3.66,4.03,4.3,5.05,4.89
2001-11-30,1.87,1.78,1.79,2.06,2.84,3.3,4.08,4.55,4.78,5.54,5.27
2001-12-31,1.68,1.74,1.83,2.17,3.07,3.59,4.38,4.84,5.07,5.74,5.48
2002-01-31,1.69,1.76,1.89,2.29,3.16,3.7,4.42,4.82,5.07,5.68,5.44
2002-02-28,1.76,1.79,1.87,2.25,3.06,3.64,4.27,4.7,4.88,5.61,5.54
2002-03-29,1.76,1.79,2.12,2.7,3.72,4.31,4.91,5.29,5.42,6.03,5.91
2002-04-30,1.77,1.77,1.91,2.35,3.24,3.83,4.53,4.88,5.11,5.74,5.72
2002-05-31,1.72,1.74,1.91,2.34,3.22,3.73,4.37,4.77,5.08,5.77,5.75
2002-06-28,1.69,1.7,1.75,2.06,2.9,3.37,4.09,4.52,4.86,5.65,5.7
2002-07-31,1.73,1.71,1.7,1.8,2.23,2.67,3.53,4.09,4.51,5.41,5.51
2002-08-30,1.7,1.69,1.67,1.74,2.14,2.5,3.22,3.78,4.14,5.06,5.11
2002-09-30,1.6,1.57,1.51,1.53,1.72,2.02,2.63,3.25,3.63,4.75,4.88
2002-10-31,1.48,1.44,1.43,1.46,1.68,2.05,2.81,3.45,3.93,5.03,5.28
2002-11-29,1.25,1.22,1.3,1.56,2.08,2.51,3.28,3.88,4.22,5.18,5.23
2002-12-31,1.2,1.22,1.23,1.32,1.61,1.99,2.78,3.36,3.83,4.83,5.03
2003-01-31,1.17,1.18,1.19,1.31,1.72,2.16,3.02,3.55,4,4.93,5.03
2003-02-28,1.21,1.2,1.19,1.24,1.53,1.91,2.69,3.24,3.71,4.7,4.9
2003-03-31,1.16,1.14,1.13,1.19,1.51,1.93,2.78,3.35,3.83,4.84,5.07
2003-04-30,1.13,1.13,1.15,1.22,1.51,1.95,2.85,3.39,3.89,4.79,5
2003-05-30,1.16,1.11,1.09,1.13,1.33,1.58,2.3,2.87,3.37,4.36,4.59
2003-06-30,0.81,0.9,0.98,1.09,1.32,1.66,2.46,3.03,3.54,4.52,4.81
2003-07-31,0.91,0.96,1.02,1.28,1.8,2.33,3.38,3.98,4.49,5.43,5.56
2003-08-29,0.98,0.98,1.06,1.35,1.95,2.51,3.46,4,4.45,5.33,5.3
2003-09-30,0.87,0.95,1.01,1.15,1.5,1.95,2.85,3.41,3.96,4.91,5.07
2003-10-31,0.96,0.96,1.04,1.31,1.85,2.36,3.27,3.8,4.33,5.2,5.28
2003-11-28,0.96,0.93,1.04,1.39,2.06,2.56,3.38,3.89,4.34,5.2,5.23
2003-12-31,0.9,0.95,1.02,1.26,1.84,2.37,3.25,3.77,4.27,5.1,5.23
2004-01-30,0.85,0.92,1.01,1.28,1.84,2.35,3.17,3.68,4.16,5,5.11
2004-02-27,0.95,0.96,1.01,1.21,1.66,2.13,3.01,3.48,3.99,4.85,5.01
2004-03-31,0.96,0.95,1.01,1.2,1.6,1.99,2.8,3.33,3.86,4.77,4.93
2004-04-30,0.83,0.98,1.17,1.55,2.31,2.86,3.63,4.11,4.53,5.31,5.39
2004-05-31,0.94,1.08,1.39,1.83,2.54,3.1,3.81,4.26,4.66,5.39,5.42
2004-06-30,1.17,1.33,1.68,2.09,2.7,3.16,3.81,4.24,4.62,5.33,5.41
2004-07-30,1.27,1.45,1.77,2.13,2.68,3.09,3.71,4.13,4.5,5.24,5.31
2004-08-31,1.45,1.59,1.79,1.99,2.41,2.75,3.33,3.76,4.13,4.93,5.01
2004-09-30,1.47,1.71,2,2.21,2.63,2.89,3.38,3.79,4.14,4.89,4.97
2004-10-29,1.73,1.91,2.13,2.28,2.56,2.82,3.3,3.7,4.05,4.79,4.87
2004-11-30,2.07,2.23,2.44,2.63,3.02,3.29,3.72,4.07,4.36,5.03,5.07
2004-12-31,1.89,2.22,2.59,2.75,3.08,3.25,3.63,3.94,4.24,4.85,4.86
2005-01-31,2.06,2.51,2.79,2.96,3.29,3.43,3.71,3.92,4.14,4.64,4.62
2005-02-28,2.51,2.76,3.01,3.2,3.59,3.75,4,4.18,4.36,4.79,4.71
2005-03-31,2.63,2.79,3.13,3.35,3.8,3.96,4.18,4.33,4.5,4.88,4.76
2005-04-29,2.7,2.9,3.17,3.33,3.66,3.73,3.9,4.03,4.21,4.61,4.53
2005-05-31,2.8,2.99,3.18,3.32,3.6,3.65,3.76,3.86,4,4.4,4.36
2005-06-30,2.99,3.13,3.34,3.45,3.66,3.67,3.72,3.8,3.94,4.28,4.19
2005-07-29,3.25,3.42,3.69,3.8,4.02,4.06,4.12,4.19,4.28,4.56,4.42
2005-08-31,3.41,3.52,3.74,3.77,3.84,3.83,3.87,3.93,4.02,4.3,4.23
2005-09-30,3.15,3.55,3.93,4.01,4.18,4.18,4.18,4.23,4.34,4.62,4.53
2005-10-31,3.77,3.98,4.26,4.31,4.4,4.41,4.45,4.49,4.57,4.84,4.73
2005-11-30,4,3.95,4.31,4.34,4.42,4.41,4.42,4.45,4.49,4.81,4.66
2005-12-30,4.01,4.08,4.37,4.38,4.41,4.37,4.35,4.36,4.39,4.61,4.51
2006-01-31,4.37,4.47,4.59,4.58,4.54,4.49,4.47,4.49,4.53,4.74,4.69
