,Time_Period,RIFLGFCM01_N.B,RIFLGFCM03_N.B,RIFLGFCM06_N.B,RIFLGFCY01_N.B,RIFLGFCY02_N.B,RIFLGFCY03_N.B,RIFLGFCY05_N.B,RIFLGFCY07_N.B,RIFLGFCY10_N.B,RIFLGFCY20_N.B,RIFLGFCY30_N.B,Time_Period_YM,MARGIN_RIFLGFCM01_N.B,MARGIN_RIFLGFCM03_N.B,MARGIN_RIFLGFCM06_N.B,MARGIN_RIFLGFCY01_N.B,MARGIN_RIFLGFCY02_N.B,MARGIN_RIFLGFCY03_N.B,MARGIN_RIFLGFCY05_N.B,MARGIN_RIFLGFCY07_N.B,MARGIN_RIFLGFCY10_N.B,MARGIN_RIFLGFCY20_N.B,MARGIN_RIFLGFCY30_N.B
0,1962-01-31,,,,3.29,,3.81,3.99,,4.1,4.13,,1962-01-01,,,,,,,,,,,
1,1962-02-28,,,,3.21,,3.53,3.77,,4.0,4.1,,1962-02-01,,,,-0.08000000000000007,,-0.28000000000000025,-0.2200000000000002,,-0.09999999999999964,-0.03000000000000025,
2,1962-03-30,,,,2.97,,3.39,3.61,,3.86,3.98,,1962-03-01,,,,-0.23999999999999977,,-0.13999999999999968,-0.16000000000000014,,-0.14000000000000012,-0.11999999999999966,
3,1962-04-30,,,,3.07,,3.47,3.64,,3.86,3.91,,1962-04-01,,,,0.09999999999999964,,0.08000000000000007,0.03000000000000025,,0.0,-0.06999999999999984,
4,1962-05-31,,,,2.99,,3.36,3.66,,3.9,3.94,,1962-05-01,,,,-0.07999999999999963,,-0.11000000000000032,0.020000000000000018,,0.040000000000000036,0.029999999999999805,
5,1962-06-29,,,,3.2,,3.56,3.76,,4.0,4.02,,1962-06-01,,,,0.20999999999999996,,0.20000000000000018,0.09999999999999964,,0.10000000000000009,0.07999999999999963,
6,1962-07-31,,,,3.33,,3.62,3.82,,4.04,4.06,,1962-07-01,,,,0.1299999999999999,,0.06000000000000005,0.06000000000000005,,0.040000000000000036,0.040000000000000036,
7,1962-08-31,,,,3.14,,3.42,3.66,,3.96,3.99,,1962-08-01,,,,-0.18999999999999995,,-0.20000000000000018,-0.1599999999999997,,-0.08000000000000007,-0.0699999999999994,
8,1962-09-28,,,,3.02,,3.35,3.66,,3.94,3.97,,1962-09-01,,,,-0.1200000000000001,,-0.06999999999999984,0.0,,-0.020000000000000018,-0.020000000000000018,
9,1962-10-31,,,,2.97,,3.36,3.64,,3.92,3.94,,1962-10-01,,,,-0.04999999999999982,,0.009999999999999787,-0.020000000000000018,,-0.020000000000000018,-0.03000000000000025,
10,1962-11-30,,,,3.02,,3.41,3.59,,3.92,3.94,,1962-11-01,,,,0.04999999999999982,,0.050000000000000266,-0.050000000000000266,,0.0,0.0,
11,1962-12-31,,,,3.05,,3.4,3.56,,3.85,3.92,,1962-12-01,,,,0.029999999999999805,,-0.010000000000000231,-0.029999999999999805,,-0.06999999999999984,-0.020000000000000018,
