,Date,Beta0,Beta1,Beta2,Tau,Curve
0,1985-01-01,0.11474328023846143,-0.036232313877883386,0.00017967724875919341,1.0,"NelsonSiegelCurve(beta0=0.11474328023846143, beta1=-0.036232313877883386, beta2=0.00017967724875919341, tau=1.0)"
1,1985-02-01,0.12231479927121804,-0.03891821883478017,0.0031178840771725093,1.0,"NelsonSiegelCurve(beta0=0.12231479927121804, beta1=-0.03891821883478017, beta2=0.0031178840771725093, tau=1.0)"
2,1985-03-01,0.11955865389731962,-0.03959545893390791,0.005559877887332511,1.0,"NelsonSiegelCurve(beta0=0.11955865389731962, beta1=-0.03959545893390791, beta2=0.005559877887332511, tau=1.0)"
3,1985-04-01,0.11835021351660242,-0.04140394961175542,-0.004642021937654846,1.0,"NelsonSiegelCurve(beta0=0.11835021351660242, beta1=-0.04140394961175542, beta2=-0.004642021937654846, tau=1.0)"
4,1985-05-01,0.10831653895408067,-0.03758927440522394,-0.014148464952649114,1.0,"NelsonSiegelCurve(beta0=0.10831653895408067, beta1=-0.03758927440522394, beta2=-0.014148464952649114, tau=1.0)"
5,1985-06-01,0.10793775148033452,-0.04080894141666473,-0.014941140826810938,1.0,"NelsonSiegelCurve(beta0=0.10793775148033452, beta1=-0.04080894141666473, beta2=-0.014941140826810938, tau=1.0)"
6,1985-07-01,0.11057770647544744,-0.038422144475999634,-0.01429063825592087,1.0,"NelsonSiegelCurve(beta0=0.11057770647544744, beta1=-0.038422144475999634, beta2=-0.01429063825592087, tau=1.0)"
7,1985-08-01,0.10769113784913353,-0.03720615940108195,-0.010052275764164152,1.0,"NelsonSiegelCurve(beta0=0.10769113784913353, beta1=-0.03720615940108195, beta2=-0.010052275764164152, tau=1.0)"
8,1985-09-01,0.10853222374390417,-0.039679687387838156,-0.01211250429645577,1.0,"NelsonSiegelCurve(beta0=0.10853222374390417, beta1=-0.039679687387838156, beta2=-0.01211250429645577, tau=1.0)"
9,1985-10-01,0.10537899979517212,-0.033135298206650676,-0.01669767514185912,1.0,"NelsonSiegelCurve(beta0=0.10537899979517212, beta1=-0.033135298206650676, beta2=-0.01669767514185912, tau=1.0)"
10,1985-11-01,0.10101195260881683,-0.027948188751870204,-0.017915560216361016,1.0,"NelsonSiegelCurve(beta0=0.10101195260881683, beta1=-0.027948188751870204, beta2=-0.017915560216361016, tau=1.0)"
11,1985-12-01,0.09504379281200333,-0.02205343802671225,-0.019873105893067233,1.0639527618909597,"NelsonSiegelCurve(beta0=0.09504379281200333, beta1=-0.02205343802671225, beta2=-0.019873105893067233, tau=1.0639527618909597)"
12,1986-01-01,0.09540462409816584,-0.02346668157274905,-0.018571320174205513,1.0605109477842234,"NelsonSiegelCurve(beta0=0.09540462409816584, beta1=-0.02346668157274905, beta2=-0.018571320174205513, tau=1.0605109477842234)"
13,1986-02-01,0.08340026396203344,-0.011265853589062506,-0.006985472364600619,1.0,"NelsonSiegelCurve(beta0=0.08340026396203344, beta1=-0.011265853589062506, beta2=-0.006985472364600619, tau=1.0)"
