Date,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,30Y
2012-01-04,2.638,2.6754,2.8199,2.8668,2.9462,3.0255,3.1812,3.3368,3.3695,3.4023,3.435,3.8059,3.9458,4.0607
2012-01-05,2.6279,2.675,2.8066,2.8984,2.9796,3.0608,3.2045,3.3482,3.3771,3.4061,3.435,3.8038,3.9441,4.0509
2012-01-06,2.6404,2.6767,2.814,2.8913,2.9948,3.0983,3.2176,3.3369,3.3679,3.399,3.43,3.8027,3.943,4.0498
2012-01-09,2.6409,2.6772,2.809,2.8925,2.9973,3.1022,3.2123,3.3224,3.3466,3.3708,3.395,3.747,3.8873,4.0488
2012-01-10,2.5919,2.6809,2.8318,2.9089,3.006,3.1032,3.2152,3.3272,3.3648,3.4024,3.44,3.8006,3.8878,4.0622
2012-01-11,2.5918,2.6527,2.8265,2.907,3.0126,3.1183,3.2296,3.341,3.3677,3.3945,3.4213,3.7819,3.8598,4.0353
2012-01-12,2.6336,2.7536,2.8339,2.9004,3.0127,3.125,3.2279,3.3308,3.3723,3.4138,3.4554,3.816,3.8939,4.0694
2012-01-13,2.6997,2.7588,2.8197,2.9216,3.0245,3.1273,3.221,3.3147,3.345,3.3753,3.4056,3.7662,3.8441,4.0354
2012-01-16,2.6862,2.7453,2.8458,2.9309,2.9843,3.0377,3.1809,3.324,3.3614,3.3987,3.4361,3.7871,3.8668,4.0553
2012-01-17,2.6766,2.8001,2.8707,2.9374,2.9839,3.0303,3.1725,3.3148,3.3511,3.3875,3.4239,3.7749,3.8546,4.0431
2012-01-18,2.7436,2.8648,2.8789,2.935,2.9829,3.0308,3.1689,3.307,3.3393,3.3716,3.4039,3.7785,3.8546,4.0431
2012-01-19,2.6411,2.8447,2.8608,2.9004,2.9657,3.0309,3.1679,3.3048,3.3312,3.3575,3.3839,3.7585,3.8346,4.0231
2012-01-20,2.6238,2.8161,2.8552,2.9299,2.9985,3.067,3.1854,3.3039,3.3453,3.3867,3.4282,3.787,3.866,4.0536
2012-01-21,2.7189,2.9112,2.8988,2.9373,3.0243,3.1113,3.2074,3.3036,3.327,3.3505,3.3739,3.7068,3.94,4.0505
2012-01-29,2.6457,2.7814,2.8547,2.93,3.0326,3.1353,3.2127,3.2902,3.3359,3.3816,3.4273,3.7001,3.9433,4.0711
2012-01-30,2.6492,2.7819,2.8514,2.9211,3.0219,3.1226,3.2088,3.295,3.3283,3.3617,3.395,3.6678,3.911,4.0388
2012-01-31,2.7037,2.7805,2.8522,2.9469,2.9931,3.0392,3.1672,3.2952,3.3284,3.3617,3.395,3.667,3.9157,4.0523
2012-02-01,2.7037,2.7805,2.9022,2.9221,2.9885,3.055,3.1875,3.32,3.3592,3.3984,3.4376,3.7096,3.92,4.0522
2012-02-02,2.7697,2.7796,2.887,2.9355,3.0027,3.07,3.2047,3.3393,3.3726,3.4059,3.4392,3.7035,3.924,4.05
2012-02-03,2.7051,2.7813,2.9055,2.9354,3.0027,3.07,3.2031,3.3362,3.3707,3.4053,3.4398,3.7041,3.9246,4.0506
2012-02-06,2.6908,2.8003,2.8687,2.939,3.0544,3.1699,3.2629,3.3558,3.3993,3.4428,3.4863,3.7306,3.9711,4.0653
2012-02-07,2.6745,2.803,2.8764,2.9417,3.0573,3.1728,3.2684,3.364,3.4067,3.4495,3.4922,3.7366,3.9771,4.1012
2012-02-08,2.7116,2.89,2.925,2.9799,3.0822,3.1846,3.283,3.3815,3.4271,3.4727,3.5183,3.7626,3.9939,4.1119
2012-02-09,2.7745,2.8975,2.9739,3.0562,3.1384,3.2207,3.32,3.4193,3.4542,3.489,3.5239,3.7682,3.9994,4.1174
