Date,CN_GDP_Current_Price_Cum_YTY,CN_GDP_Constant_Price_Cum_YTY,CN_GDP_Deflator_GDP_Cum_YTY,CN_GDP_Constant_Current_Q,CN_IFA_Cum_MTM,CN_IE_FGI_MTM,CN_PMI_New_Order,CN_PMI_RMP,CN_TRSCG_Cum_MOM,CN_PFE_MOM,CN_Import_Trade_MOM,Global_GDP_CP,CN_Export_MOM,OECD,CN_RMB_RE_Exchange_Rate,CN_PMI
2011-01-04,,,,,,,,,,,,,,,,
2011-01-05,,,,,,,,,,,,,,,,
2011-01-06,,,,,,,,,,,,,,,,
2011-01-07,,,,,,,,,,,,,,,,
2011-01-10,,,,,,,,,,,,,,,,
2011-01-11,,,,,,,,,,,,,,,,
2011-01-12,,,,,,,,,,,,,,,,
2011-01-13,,,,,,,,,,,,,,,,
2011-01-14,,,,,,,,,,,,,,,,
2011-01-17,,,,,,,,,,,,,,,,
2011-01-18,,,,,,,,,,,,,,,,
2011-01-19,,,,,,,,,,,,,,,,
2011-01-20,,,,,,,,,,,,,,,,
2011-01-21,,,,,,,,,,,,,,,,
2011-01-24,,,,,,,,,,,,,,,,
2011-01-25,,,,,,,,,,,,,,,,
2011-01-26,,,,,,,,,,,,,,,,
2011-01-27,,,,,,,,,,,,,,,,
2011-01-28,,,,,,,,,,,,,,,,
2011-01-30,,,,,,,,,,,,,,,,
2011-01-31,,,,,,,54.9,69.3,19.9,84.92,,,,100.8044,81.67,52.9
2011-02-01,,,,,,,,,,,,,,,,
2011-02-09,,,,,,,,,,,,,,,,
2011-02-10,,,,,,,,,,,,,,,,
2011-02-11,,,,,,,,,,,,,,,,
2011-02-12,,,,,,,,,,,,,,,,
2011-02-14,,,,,,,,,,,,,,,,
2011-02-15,,,,,,,,,,,,,,,,
2011-02-16,,,,,,,,,,,,,,,,
2011-02-17,,,,,,,,,,,,,,,,
2011-02-18,,,,,,,,,,,,,,,,
2011-02-21,,,,,,,,,,,,,,,,
2011-02-22,,,,,,,,,,,,,,,,
2011-02-23,,,,,,,,,,,,,,,,
2011-02-24,,,,,,,,,,,,,,,,
2011-02-25,,,,,,,,,,,,,,,,
2011-02-28,,,,,24.9,22.04,54.3,70.1,15.8,-17.52,,,,100.8132,82.09,52.2
2011-03-01,,,,,,,,,,,,,,,,
2011-03-02,,,,,,,,,,,,,,,,
2011-03-03,,,,,,,,,,,,,,,,
2011-03-04,,,,,,,,,,,,,,,,
2011-03-07,,,,,,,,,,,,,,,,
2011-03-08,,,,,,,,,,,,,,,,
2011-03-09,,,,,,,,,,,,,,,,
2011-03-10,,,,,,,,,,,,,,,,
2011-03-11,,,,,,,,,,,,,,,,
2011-03-14,,,,,,,,,,,,,,,,
2011-03-15,,,,,,,,,,,,,,,,
2011-03-16,,,,,,,,,,,,,,,,
2011-03-17,,,,,,,,,,,,,,,,
2011-03-18,,,,,,,,,,,,,,,,
2011-03-21,,,,,,,,,,,,,,,,
2011-03-22,,,,,,,,,,,,,,,,
2011-03-23,,,,,,,,,,,,,,,,
2011-03-24,,,,,,,,,,,,,,,,
2011-03-25,,,,,,,,,,,,,,,,
2011-03-28,,,,,,,,,,,,,,,,
2011-03-29,,,,,,,,,,,,,,,,
2011-03-30,,,,,,,,,,,,,,,,
2011-03-31,19.53,10.2,8.3416,98902.8,25.0,23.15,55.2,68.3,16.34,27.8,,,,100.7553,80.82,53.4
2011-04-01,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-02,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-06,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-07,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-08,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-11,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-12,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-13,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-14,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-15,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-18,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-19,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-20,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-21,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-22,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-25,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-26,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-27,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-28,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-04-29,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-03,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-04,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-05,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-06,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-09,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-10,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-11,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-12,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-13,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-16,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-17,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-18,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-19,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-20,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-23,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-24,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-25,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-26,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-27,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-30,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-05-31,19.53,10.2,8.3416,98902.8,25.8,22.62,52.1,60.3,16.6,42.9,,,,100.4605,80.03,52.0
2011-06-01,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-02,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-03,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-07,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-08,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-09,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-10,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-13,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-14,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-15,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-16,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-17,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-20,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-21,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-22,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-23,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-24,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-27,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-28,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-29,19.53,10.2,8.3416,98902.8,,,,,,,,,,,,
2011-06-30,18.29,10.1,8.5774,110314.2,25.6,21.74,50.8,56.7,16.8,33.1,,,,100.2522,80.29,50.9
2011-07-01,18.29,10.1,8.5774,110314.2,,,,,,,,,,,,
2011-07-04,18.29,10.1,8.5774,110314.2,,,,,,,,,,,,
