Date,CN_CPI_MOM,CN_PPI_ALL_IND_MOM,CN_TRSCG_MOM,CN_IOM_MOM,CN_IO_MOM,PPIRM_MOM,PMI_New_Order,PMI_Inv,DTD,LME
2011-01-04,,,,,,,,,,9754.0
2011-01-05,,,,,,,,,,9461.0
2011-01-06,,,,,,,,,,9591.0
2011-01-07,,,,,,,,,,9399.0
2011-01-10,,,,,,,,,,9384.0
2011-01-11,,,,,,,,,,9484.0
2011-01-12,,,,,,,,,,9625.0
2011-01-13,,,,,,,,,,9622.0
2011-01-14,,,,,,,,,,9591.0
2011-01-17,,,,,,,,,,9690.0
2011-01-18,,,,,,,,,,9740.0
2011-01-19,,,,,,,,,,9788.0
2011-01-20,,,,,,,,,,9485.0
2011-01-21,,,,,,,,,,9485.0
2011-01-24,,,,,,,,,,9509.0
2011-01-25,,,,,,,,,,9330.0
2011-01-26,,,,,,,,,,9376.0
2011-01-27,,,,,,,,,,9490.0
2011-01-28,,,,,,,,,,9590.0
2011-01-31,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9720.0
2011-02-01,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9840.5
2011-02-02,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9945.0
2011-02-03,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9950.5
2011-02-04,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9986.0
2011-02-07,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,10145.0
2011-02-08,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9930.5
2011-02-09,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,10000.0
2011-02-10,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9875.5
2011-02-11,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9920.5
2011-02-14,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,10148.0
2011-02-15,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,10106.5
2011-02-16,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9925.0
2011-02-17,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9800.0
2011-02-18,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9806.0
2011-02-21,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9829.5
2011-02-22,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9655.0
2011-02-23,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9491.0
2011-02-24,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9440.0
2011-02-25,4.9,6.6,19.9,,13.3,9.68,54.9,47.9,96.54,9700.0
2011-02-28,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9857.5
2011-03-01,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9908.0
2011-03-02,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9820.5
2011-03-03,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9889.5
2011-03-04,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9970.5
2011-03-07,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9840.5
2011-03-08,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9420.0
2011-03-09,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9610.0
2011-03-10,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9195.5
2011-03-11,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9048.0
2011-03-14,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9205.5
2011-03-15,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,8980.0
2011-03-16,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9354.5
2011-03-17,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9440.0
2011-03-18,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9525.0
2011-03-21,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9519.0
2011-03-22,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9450.0
2011-03-23,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9704.0
2011-03-24,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9695.5
2011-03-25,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9715.0
2011-03-28,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9545.0
2011-03-29,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9450.0
2011-03-30,4.944,7.23,11.6,,14.9,10.38,54.3,46.4,103.62,9519.5
2011-03-31,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9399.5
2011-04-01,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9336.0
2011-04-04,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9420.0
2011-04-05,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9251.5
2011-04-06,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9475.5
2011-04-07,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9697.0
2011-04-08,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9823.0
2011-04-11,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9781.5
2011-04-12,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9670.5
2011-04-13,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9625.5
2011-04-14,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9326.5
2011-04-15,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9420.0
2011-04-18,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9356.5
2011-04-19,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9279.0
2011-04-20,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9450.5
2011-04-21,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9611.0
2011-04-26,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9455.5
2011-04-27,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9348.5
2011-04-28,5.383,7.31,17.4,,14.8,10.53,55.2,51.3,114.61,9370.5
2011-04-30,5.344,6.82,17.1,,13.4,10.42,53.8,50.8,123.61,9370.5
2011-05-03,5.344,6.82,17.1,,13.4,10.42,53.8,50.8,123.61,9245.0
2011-05-04,5.344,6.82,17.1,,13.4,10.42,53.8,50.8,123.61,9171.5
2011-05-05,5.344,6.82,17.1,,13.4,10.42,53.8,50.8,123.61,8791.0
2011-05-06,5.344,6.82,17.1,,13.4,10.42,53.8,50.8,123.61,8790.0
